"ConstantSupport","2001-11-09","Jim","changed the order of fields for SpecLineNames"
"ConstantSupport","2001-11-10","Alex","added functions to support primTarget and secTarget"
"ConstantSupport","2001-11-10","Alex","reinserted the SDSSConstants and StripeDefs"
"ConstantSupport","2001-11-19","Alex","fixed bugs in PhotoFlags values and added missing items"
"ConstantSupport","2001-11-23","Alex","changed the DataConstants value type to binary(8),and SDSSConstants value to float, and added views,plus more access functions. revised fPhotoDescription."
"ConstantSupport","2001-11-23","Jim+Alex","include fMjdToGMT time conversion routine"
"ConstantSupport","2001-12-02","Alex","changed PrimTargetFlags->primTarget, SecTargetFlags->SecTarget and fixed the leading zeroes in SpecZWarning."
"ConstantSupport","2001-12-27","Alex","separated the tables from the functions and views"
"ConstantSupport","2002-04-09","Jim","added sample calls to functions, fixed fSpecDescription bug"
"ConstantSupport","2002-08-10","Adrian","added bits/enums views/functions for tiling changes"
"ConstantSupport","2002-08-22","Ani","Removed duplicate fSpecZWarningN definition, and alsofixed some errors in the descriptions/comments."
"ConstantSupport","2002-08-26","Ani","Added descriptions to tiling views/functions."
"ConstantSupport","2002-10-22","Alex","Added support to PhotoMode functions"
"ConstantSupport","2003-01-27","Ani","Renamed TileInfo to TilingInfo as per PR# 4702,and renamed TileBoundary (table) to TilingBoundary (view)."
"ConstantSupport","2003-02-19","Alex","added support for FramesStatus"
"ConstantSupport","2003-02-20","Alex","added support for MaskType"
"ConstantSupport","2003-06-04","Alex","added support for InsideMaskadded 'coalesce' to functions returning names indexed by value "
"DataConstants","2003-07-18","Ani","Fixed example for fInsideMask (param missing)"
"DataConstants","2001-11-09","Jim","changed the order of fields for SpecLineNames"
"DataConstants","2001-11-10","Alex","added functions to support primTarget and secTarget"
"DataConstants","2001-11-10","Alex","reinserted the SDSSConstants and StripeDefs"
"DataConstants","2001-11-19","Alex","fixed bugs in PhotoFlags values and added missing items"
"DataConstants","2001-11-23","Alex","changed the DataConstants value type to binary(8),and SDSSConstants value to float, and added views,plus more access functions. revised fPhotoDescription."
"DataConstants","2001-11-23","Jim+Alex","include fMjdToGMT time conversion routine"
"DataConstants","2001-12-02","Alex","changed PrimTargetFlags->primTarget, SecTargetFlags->SecTarget and fixed the leading zeroes in SpecZWarning."
"DataConstants","2001-12-29","Jim","CR -> COSMIC_RAY"
"DataConstants","2002-05-01","Ani","Incorporated Adrian's tiling changes (PR 2433)"
"DataConstants","2002-07-10","Jim","added arcSecPerPixel, arcSecPerPixelErr to SDSS constantscorrected errors in ProfileDefs"
"DataConstants","2002-08-10","Adrian","updated tiling changes"
"DataConstants","2002-08-12","Ani","Added MaskType enum (for Mask table)."
"DataConstants","2002-08-19","Adrian","updated tiling changes, added unmapped fiber flags to zwarning"
"DataConstants","2002-10-22","Alex","added the photoMode values and added V4 photoFlags"
"DataConstants","2003-01-16","Alex","fixed ProfileDefs per Robert's definitions"
"DataConstants","2003-01-16","Alex","fixed HoleType enum as pointed out by Adrian Pope"
"DataConstants","2003-02-19","Alex","added values for framesStatus (from RHL)"
"DataConstants","2003-05-05","Ani","updated TiMask bit mask values as per PR #5272."
"DataConstants","2003-06-04","Alex","Added InsideMask values,changed FieldStatus->PspStatus, andadded Runshift table and values."
"DataConstants","2003-07-30","Ani","Added missing photoflags descriptions provided by RHL (PR 5529)and replaced "centre" with "center" for consistency."
"DataConstants","2003-08-18","Ani","Added asinh softening params to SDSSConstants (PR 5559),and fixed spelling of Angstrom (it was Angstroem)."
"DataConstants","2003-10-31","Ani","Added ABLINE_CAII to SpecZStatus as per PR #5741 .Modified line names (SpecLineNames) as per PR #5741 ."
"FileGroups","2003-12-02","Ani","Fixed typo in LOADER_MAPPED description."
"FileGroups","2003-05-15","Alex","added truncate command for now"
"FileGroups","2003-05-22","Alex","fixed a bunch of updates to Tiling, separated off the index assignments"
"IndexMap","2003-05-28","Alex","added support for indexFileGroup"
"IndexMap","2002-07-08","jim","modified to V4 schema for PhotoProfile.dropped extra neighbor foreign keyadded field->segment forign keyadded segment->chunk forign keyadded chunk->stripeDefs forign keyadded fieldProfile->Fieldadded PhotoProfile-PhotoObjadded Mosaic foreign keys.2001-11-01	Jan Vandenberg: created from system dump2001-11-08	Alex Szalay: manual edits for concise naming convention"
"IndexMap","2001-11-09","Alex","Total count of indices is 21"
"IndexMap","2002-10-12","Alex","commented out Extinction, Mosaic, made other V4 changes"
"IndexMap","2002-10-12","Alex","commented out Synonym and Crossidneed to add tiling stuff later2002-10-22   Alex & Jim: distanceMin-> Distance in Neighbors, isPrimary -> mode in neighbors.added sp's to drop and add indices.2002-10-28	Alex & Jim:  Revised index definitions to match new (V4) column namesbest and target IDs in sprectra, sciencePrimary and so on."
"IndexMap","2002-10-26","Alex","merged with index management"
"IndexMap","2002-10-26","Alex","modified spGrantExec to manage access rights"
"IndexMap","2002-10-28","Jim","made drop index transactional.merged spManageIndices and spBuildIndices"
"IndexMap","2002-11-08","Jim","fixed bug in drop index"
"IndexMap","2002-11-24","Jim","tied to load enviroment (generate phase messages)converted to spCreateIndex()"
"IndexMap","2002-11-25","Alex","moved spGrantAccess to separate file"
"IndexMap","2002-11-30","Jim","recovered lost files (from Windows File loss)added Tiles key and foreign key creates."
"IndexMap","2002-12-08","Alex","commented out SpecObjAll 'TargetObjID,objType,....'"
"IndexMap","2002-12-10","Alex","moved Sector stuff into @buildall=1"
"IndexMap","2002-12-19","Alex","added skyVersion to TargetInfo PK"
"IndexMap","2003-01-27","Ani","Made changes to tiling schema as per PR# 4702:renamed TileRegion to TilingRegionrenamed TileInfo to TilingInforenamed TileNotes to TilingNotesrenamed TileBoundary to TilingGeometrychange the primary key of TilingInfo from (tileRun,tid)to (tileRun,targetID)removed TiBound2TsChunkremoved Target2Sector"
"IndexMap","2003-01-28","Alex","commented out the indices on the PhotoObj table, they will move to PhotoTag"
"IndexMap","2003-01-28","Jim","fixed primary index create to have 'with sort_in_tempdb"
"IndexMap","2003-02-23","Alex","added HTM index to specObj, Target, Mask"
"IndexMap","2003-05-15","Alex","changed PhotoObj to PhotoObjAll for now"
"IndexMap","2003-05-21","Adrian+Alex","changed pk for Tiling tables, to reflect updates"
"IndexMap","2003-05-23","Alex","changed it to use the IndexMap table"
"IndexMap","2003-05-26","Alex","moved spUpdateStatistics to metadataTables"
"IndexMap","2003-05-28","Alex","added IndexMap table, modified procedures to work with this."
"IndexMap","2003-06-05","Alex","fixed filegroup assignment in spCreateIndex"
"IndexMap","2003-06-07","Alex","added fIndexName function, also QSo* indexes"
"IndexMap","2003-08-06","Ani","Fixed pk creation for PhotoObjAll (PR #5542)the IndexGroup shd have been PHOTO, not PHOTOOBJ"
"IndexMap","2003-08-20","Ani","Added RegionConvexString and TileContains."
"IndexMap","2003-08-22","Ani","Changed RegionConvexString and TileContains toFINISH category."
"IndexMap","2003-12-04","Jim","fixed drop primary key bug in spDropIndex"
"MetadataTables","2004-08-13","Ani","added phase message to spBuildPrimaryKeys."
"MetadataTables","2001-05-15","Alex","Omitted sx from names and changed FOREIGN KEYs2001-11-03 Jim : Added site constants."
"MetadataTables","2001-11-23","Alex","Eliminated sql_variant, switched to varchar(..)"
"MetadataTables","2001-12-09","Jim","Docmunentation (v.3.36), & 3.36  history changesChanged spUpdateStatistcs to spUpdateSkyServerCrossCheck"
"MetadataTables","2002-09-20","Alex","Added UCDs"
"MetadataTables","2002-11-05","Alex","Moved Primary keys to spManageIndices.sql"
"MetadataTables","2002-11-05","Alex","Created LoadHistory table"
"MetadataTables","2002-11-25","Alex","spGrantAccess-- updated from script in spManageIndices.sql"
"MetadataTables","2002-11-26","Alex","Changed Columns->DBColumns, ViewCol->DBViewCols"
"MetadataTables","2002-12-27","Alex","Added PubHistory"
"MetadataTables","2003-05-26","Alex","Moved spUpdateStatistics here"
"MetadataTables","2003-06-03","Alex","Changed count(*) to count_big(*)"
"MetadataTables","2003-07-21","Ani","Updated glossary table - added "name" column"
"MetadataTables","2003-07-24","Ani","Added Algorithm table for algorithm descriptions"
"MetadataTables","2003-08-07","Ani","Added TableDesc table for table descriptions."
"MetadataTables","2003-08-20","Ani","Updated SiteConstants for DR2 testload."
"MetadataTables","2003-08-21","Ani","Automated setting of DB version in SiteConstants (PR 5599)."
